Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Component: Footprint Not Found CFR 1k
Add Pin To Net: Unknown Pin: Pin R9-1
Add Pin To Net: Unknown Pin: Pin R9-2
Add Pin To Net: Unknown Pin: Pin R10-1
Add Pin To Net: Unknown Pin: Pin R10-2
Add Pin To Net: Unknown Pin: Pin R11-1
Add Pin To Net: Unknown Pin: Pin R11-2
Add Pin To Net: Unknown Pin: Pin R12-1
Add Pin To Net: Unknown Pin: Pin R12-2
Add Pin To Net: Unknown Pin: Pin R13-1
Add Pin To Net: Unknown Pin: Pin R13-2
Add Pin To Net: Unknown Pin: Pin R14-1
Add Pin To Net: Unknown Pin: Pin R14-2
Add Pin To Net: Unknown Pin: Pin R15-1
Add Pin To Net: Unknown Pin: Pin R15-2
Add Pin To Net: Unknown Pin: Pin R16-1
Add Pin To Net: Unknown Pin: Pin R16-2
Add Pin To Net: Unknown Pin: Pin R17-1
Add Pin To Net: Unknown Pin: Pin R17-2
Add Pin To Net: Unknown Pin: Pin R18-1
Add Pin To Net: Unknown Pin: Pin R18-2
Add Pin To Net: Unknown Pin: Pin R19-1
Add Pin To Net: Unknown Pin: Pin R19-2
Add Pin To Net: Unknown Pin: Pin R20-1
Add Pin To Net: Unknown Pin: Pin R20-2
